,condition1,condition2,condition3,condition4,condition5,condition6
0,5,2,2,4,1,3
1,3,2,4,3,3,3
2,4,4,1,3,5,3
3,3,3,2,3,2,4
4,5,3,1,2,3,4
5,2,1,2,2,1,2
6,4,3,2,1,2,5
7,5,1,1,2,3,2
8,4,5,3,2,3,3
9,3,1,2,3,4,1
10,1,4,3,1,4,1
11,4,2,1,3,2,4
12,1,3,2,3,3,1
13,3,3,1,2,2,2
14,2,3,2,2,3,5
15,2,4,2,3,3,5
16,5,2,2,2,4,5
17,2,3,3,2,3,2
18,4,1,3,1,2,2
19,3,1,2,3,4,2
20,3,3,1,3,2,2
21,2,5,2,4,3,5
22,4,2,4,2,4,1
23,1,1,2,1,3,3
24,2,3,2,1,1,4
25,4,1,4,4,1,2
26,1,2,5,3,4,2
27,4,4,5,3,1,1
28,2,3,2,4,2,1
29,5,4,5,3,3,3
30,4,2,1,3,4,3
31,4,5,3,2,4,1
32,3,3,3,1,2,2
33,3,4,4,1,1,1
34,4,3,1,2,4,3
35,1,4,2,3,3,5
36,4,3,3,2,2,2
37,5,4,3,3,2,3
38,2,3,3,3,4,1
39,5,5,3,2,5,5
40,3,4,2,4,5,5
